account_id,account_creation_date,account_age_days,device_id,address_id,abuse_label
ACC_N_0,2025-10-08T00:00:00,328,DEV_N_0,ADDR_N_0,0
ACC_N_1,2026-03-10T00:00:00,175,DEV_N_1,ADDR_N_1,0
ACC_N_2,2026-06-19T00:00:00,74,DEV_N_2,ADDR_N_2,0
ACC_N_3,2025-11-28T00:00:00,277,DEV_N_3,ADDR_N_3,0
ACC_N_4,2026-05-25T00:00:00,99,DEV_N_4,ADDR_N_4,0
ACC_N_5,2025-11-05T00:00:00,300,DEV_N_5,ADDR_N_5,0
ACC_N_6,2025-10-22T00:00:00,314,DEV_N_6,ADDR_N_6,0
ACC_N_7,2026-01-23T00:00:00,221,DEV_N_7,ADDR_N_7,0
ACC_N_8,2026-03-24T00:00:00,161,DEV_N_8,ADDR_N_8,0
ACC_N_9,2026-03-22T00:00:00,163,DEV_N_9,ADDR_N_9,0
ACC_N_10,2025-12-25T00:00:00,250,DEV_N_9,ADDR_N_9,0
ACC_N_11,2026-01-04T00:00:00,240,DEV_N_11,ADDR_N_11,0
ACC_N_12,2025-10-25T00:00:00,311,DEV_N_12,ADDR_N_12,0
ACC_N_13,2025-09-12T00:00:00,354,DEV_N_13,ADDR_N_13,0
ACC_N_14,2025-12-24T00:00:00,251,DEV_N_14,ADDR_N_14,0
ACC_N_15,2026-02-28T00:00:00,185,DEV_N_15,ADDR_N_15,0
ACC_N_16,2025-10-18T00:00:00,318,DEV_N_16,ADDR_N_16,0
ACC_N_17,2026-01-03T00:00:00,241,DEV_N_17,ADDR_N_17,0
ACC_N_18,2026-02-03T00:00:00,210,DEV_N_18,ADDR_N_18,0
ACC_N_19,2026-08-30T00:00:00,2,DEV_N_19,ADDR_N_19,0
ACC_N_20,2026-02-18T00:00:00,195,DEV_N_19,ADDR_N_19,0
ACC_N_21,2025-10-25T00:00:00,311,DEV_N_21,ADDR_N_21,0
ACC_N_22,2026-01-11T00:00:00,233,DEV_N_22,ADDR_N_22,0
ACC_N_23,2026-03-01T00:00:00,184,DEV_N_23,ADDR_N_23,0
ACC_N_24,2026-07-25T00:00:00,38,DEV_N_24,ADDR_N_24,0
ACC_N_25,2025-09-30T00:00:00,336,DEV_N_25,ADDR_N_25,0
ACC_N_26,2026-03-05T00:00:00,180,DEV_N_26,ADDR_N_26,0
ACC_N_27,2026-02-18T00:00:00,195,DEV_N_27,ADDR_N_27,0
ACC_N_28,2026-05-03T00:00:00,121,DEV_N_28,ADDR_N_28,0
ACC_N_29,2026-03-19T00:00:00,166,DEV_N_29,ADDR_N_29,0
ACC_N_30,2025-10-05T00:00:00,331,DEV_N_29,ADDR_N_29,0
ACC_N_31,2025-09-30T00:00:00,336,DEV_N_31,ADDR_N_31,0
ACC_N_32,2026-02-24T00:00:00,189,DEV_N_32,ADDR_N_32,0
