order_id,account_id,timestamp,product_id,category,amount,device_id,address_id,order_status,refund_requested,refund_amount,refund_timestamp
ORD_ACC_N_0_0,ACC_N_0,2026-05-09T00:00:00,PROD_147,Sports,86.98,DEV_N_0,ADDR_N_0,REFUNDED,1,86.98,2026-05-10T00:00:00
ORD_ACC_N_0_1,ACC_N_0,2025-11-02T00:00:00,PROD_113,Clothing,222.52,DEV_N_0,ADDR_N_0,REFUNDED,1,222.52,2025-11-07T00:00:00
ORD_ACC_N_0_2,ACC_N_0,2025-10-27T00:00:00,PROD_141,Sports,32.74,DEV_N_0,ADDR_N_0,REFUNDED,1,32.74,2025-10-31T00:00:00
ORD_ACC_N_0_3,ACC_N_0,2026-05-11T00:00:00,PROD_100,Clothing,235.62,DEV_N_0,ADDR_N_0,REFUNDED,1,235.62,2026-05-15T00:00:00
ORD_ACC_N_1_0,ACC_N_1,2026-06-06T00:00:00,PROD_122,Home,69.06,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,
ORD_ACC_N_1_1,ACC_N_1,2026-03-30T00:00:00,PROD_129,Sports,146.97,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,
ORD_ACC_N_1_2,ACC_N_1,2026-07-31T00:00:00,PROD_135,Home,487.1,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,
ORD_ACC_N_1_3,ACC_N_1,2026-03-24T00:00:00,PROD_136,Clothing,316.89,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,
ORD_ACC_N_1_4,ACC_N_1,2026-08-14T00:00:00,PROD_118,Electronics,42.0,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,
ORD_ACC_N_1_5,ACC_N_1,2026-07-03T00:00:00,PROD_129,Home,435.91,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,
ORD_ACC_N_1_6,ACC_N_1,2026-07-21T00:00:00,PROD_117,Electronics,197.69,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,
ORD_ACC_N_1_7,ACC_N_1,2026-03-29T00:00:00,PROD_115,Clothing,324.79,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,
